Pseudonym,Model,Commit,M1 (↓),M2 (↓),M3 (↓),M4 (↑),M5 (↑)
zach,example1,abcd1234,0.0,0.060822212270488146,0.0,1.0,1.0
zach,example2,1234abcd,0.0,0.0,0.7738,0.2262,0.36894470722557493
hahaha,example,aabe0ee4,0.034893806470590594,0.033415885217999264,0.27380000000000004,0.4925,0.2771028477350562
sdts,best_model,c9c29024,0.0031371114882994267,0.09297268248992388,0.014647893841012963,0.792,0.48992506334561514
babysaja,example,856b886c,0.04803294523570073,0.009490371697268185,0.27380000000000004,0.4975,0.2864248922230363
sdts,best_model,d1998be9,0.014357835003073832,0.07706711644504052,0.017158999824738824,0.7929,0.489643602211743
sdts,best_model,69db48ab,0.00947932901033341,0.07507986266606953,0.01979864874183266,0.7909,0.49475948218852617
bagel,example,b2a06f48,0.025292464492842948,0.027560120344434114,0.27380000000000004,0.5038,0.2976660937192854
bagel,my_model,9fffcf15,0.04472411147637423,0.08168263919988059,0.030263553228835213,0.8445,0.5156782013436365
mangofizz,mymodel,3af602d6,0.0047883483259066086,0.005167743479301268,0.22890002258327705,0.7663,0.03985854116675323
heloo123,my_model,413dc9e4,0.029359738282538794,0.09164949992536198,0.05870919620563291,0.7945,0.49424200027438153
babysaja,logistic,fad2ab23,0.03225914162714805,0.05016390506045679,0.06091493769293969,0.8118,0.3813638509858019
mangofizz,sillymodel0,21f69ac8,0.0,0.0,0.7738,0.7738,0.0
mangofizz,sillymodel1,cfe073b3,0.0,0.0,0.7738,0.2262,0.36894470722557493
babysaja,logistic_2,b87efb3b,0.04425108022053592,0.2233228840125392,0.046032015503657715,0.6732,0.4054415245544614
babysaja,logistic_3,f19c7274,0.048513131586165215,0.20554112554112547,0.06297736422036075,0.6949,0.4180037118057606
babysaja,logistic_4,0bae68c5,0.03383167242386781,0.06839946260635917,0.007404158542026462,0.8138,0.4055024091603281
heloo123,silly_model,d0d141d5,0.0,0.0,0.22619999999999996,0.7738,0.0
sdts,best_model1,b3904227,0.020240967686797617,0.0889422301836095,0.014647893841012963,0.7912,0.48307326158257347
babysaja,logistic_5,2bf97393,0.0,0.0,0.007499999999999951,0.7738,0.0
heloo123,my_model,feacf608,0.04316986592147681,0.05247230929989552,0.010800403212300748,0.8043,0.3941921432099114
babysaja,logistic_6,4c2c0d21,0.025335395060599675,0.06741065830721005,0.008605717409139704,0.8168,0.43079229405103314
ladybug,model1,c149febc,0.04103764772289109,0.027203677740846366,0.34166857224118363,0.6564,0.3468894742086288
heloo123,my_model,2eb3a058,0.029074329508007757,0.049939393939393936,0.008469661226967571,0.8056,0.4021685042499446
babysaja,logistic_7,f3759314,0.01956282371834367,0.06276638304224512,0.03811226996281185,0.8022,0.41475950584253896
babysaja,logistic_8,e8182c93,0.0,0.0,0.22619999999999996,0.7738,0.0
heloo123,my_model_ensemble,5a6d7889,0.03349458796592586,0.07059680549335723,0.0076782886968168465,0.7997,0.4490318087269744
sdts,best_model2,aa5153d3,0.020240967686797617,0.0889422301836095,0.014647893841012963,0.7912,0.48307326158257347
heloo123,my_model,46c5063d,0.028142577185583273,0.053922771042854215,0.0072525023097071584,0.8038,0.38455775111583756
dufu12345,my_model,37190ea7,0.0442781105780124,0.07382833258695326,0.010099889440417049,0.8136,0.42049814204216485
lxi,example,fb947d4d,0.010362962050173119,0.014524653469886736,0.06402429687065173,0.769,0.11705408564839583
ladybug,example,43307b6f,0.01201588312993268,0.007753993133303494,0.27380000000000004,0.4992,0.2864672027043664
csmajor4,example,32ca512c,0.0053066951810437635,0.011001813716366882,0.27380000000000004,0.4955,0.28726056987513693
csmajor4,my_model,a4a55b65,0.047615564715843384,0.21709389461113604,0.03887501512655728,0.6705,0.40356233053808965
robot,best_model,3d483143,0.022812826699633082,0.06686968204209583,0.008853884176212346,0.8172,0.4358378453032854
heloo123,silly_model,7f0a031a,0.0,0.0,0.7738,0.2262,0.36894470722557493
reece_james_24,second_try,62232b93,0.06895285190146644,0.045891482518933505,0.043494142623136126,0.8115,0.3729180050912085
csmajor4,my_model2,b14a8dfa,0.06567184351013039,0.05582564561874906,0.06789778063623157,0.7982,0.32125116020247757
csmajor4,my_model3,c7687c3c,0.02904650414001725,0.058433796088968495,0.010612216996681306,0.8159,0.4231319696252545
ladybug,model4,a19787b2,0.028536107390020216,0.06973100462755634,0.007294184945878035,0.8438,0.523125824948183
lxi,example,f18c27ab,0.059985928313901926,0.04203851321092701,0.020434182069071907,0.7812,0.3327749251915227
howisgoing123,my_model,a127cc45,0.02254093310384031,0.0873718465442603,0.04255896959807502,0.7838,0.48428391962555356
lxi,example,b4e2f059,0.04585302640627423,0.04748290789670101,0.017504555442424893,0.7842,0.2758383371575815
koalala,my_model,2cf1260b,0.0332560848117216,0.06956262128675922,0.017883446284887774,0.8269,0.4472310229486763
csmajor4,my_model4,9d7324fe,0.05222583068661084,0.03111354653548381,0.0625714285714287,0.763,0.19963836055122466
koalala,my_model2,329df508,0.04698035131514616,0.06271144947007017,0.0374941749775907,0.8491,0.4941574259690264
lxi,2510152049,38cc0139,0.05211452921464885,0.02195895134727227,0.04302273668796554,0.7736,0.2457902238642132
dufu12345,my_model,7d9f520c,0.03389050320190484,0.0662881027018958,0.015131082527407337,0.811,0.4086772121707961
ladybug,model2,c19243dd,0.05370693527421899,0.2181495745633677,0.05090075935337299,0.6763,0.4042023274647791
heloo123,my_model,9050d0b0,0.037079290373615126,0.11995223167636962,0.04493095663042386,0.7717,0.46666775206888106
lxi,2510152120,e981ac33,0.04779364707098252,0.022691525893811834,0.04051945852851761,0.7722,0.25084800639867005
heloo123,my_model,c7925666,0.03365597510027063,0.11937662337662339,0.043164412061047014,0.7753,0.47126582102896564
lxi,2242,749523d8,0.03624850438647051,0.021622159975101155,0.027089688841728084,0.7807,0.2536552415191974
heloo123,my_model,5826da79,0.029074329508007757,0.049939393939393936,0.008469661226967571,0.8056,0.4021685042499446
lxi,2310,a75c0fcb,0.03922899880350919,0.022652072123567533,0.017300789832833268,0.7858,0.19173222445963436
tubs,my_model,f35647fa,0.053793591420246534,0.21844334975369456,0.04389672033505737,0.6757,0.4036445754851729
tubs,my_model,3ca75fd1,0.033635304826906354,0.13627980925676297,0.04389672033505737,0.355,0.33217578289769495
tubs,my_model,669bac90,0.15431607888101884,0.24116908621327265,0.04389672033505737,0.5966,0.32045185600663356
heloo123,my_model,02418259,0.030346346330430263,0.04970413494551426,0.0064894485851299125,0.8037,0.38703335763942404
mangofizz,mymodel,2fd6b067,0.019279799975354672,0.003765281100231707,0.24477234430824926,0.728,0.10373956868613242
cjw,simplelogistic,c549fc5e,,,,,
lxi,model,ba3155e4,0.05304628153707333,0.024273479653829685,0.020882670803817435,0.7818,0.27927165750753236
heloo123,my_model,5da6f6ec,0.0339954445897547,0.038834452903418415,0.0064894485851299125,0.8015,0.3476559866801488
babysaja,logistic_9,2d520d94,0.023087900337481954,0.04399940289595462,0.05724121081007854,0.8086,0.3397417089150447
hahaha,best_model,2dd7c4d8,0.017937822227698963,0.06752410807583221,0.009310094633520049,0.8156,0.4244770159650032
lxi,model,19f3a82e,0.06838362437343232,0.06340767278698312,0.0666950494031043,0.7594,0.37932086594903436
lxi,model,50f206cd,0.04357532128362396,0.022213464696223317,0.08069758038199171,0.7421,0.3344108730480601
heloo123,my_model,fca8877e,0.026861020236992605,0.04263442904926183,0.008469661226967571,0.802,0.35852174577201784
woooooooooo,push_model,1d0a3397,0.01824390127559436,0.0447816091954023,0.05310870192604403,0.8071,0.34175866202989613
egjt,my_model,26b5c42b,0.02681490962717986,0.06754440961337513,0.013238744966119074,0.8182,0.42524426979441815
lxi,model15,6fb727df,0.03599569104301403,0.01879074592800084,0.05493582236852944,0.7024,0.3946924604179751
daisy,my_model,1547e4fb,0.08064666155209904,0.07405777956808973,0.005147934913005081,0.818,0.3994811472980783
lxi,model,2a2c8e7a,0.034202942333912356,0.010773730672242854,0.04766431928942705,0.7532,0.32825955143928376
